Date,Open,High,Low,Close,Change,%Change,Volume
1/3/11,138.67,139,137.88,138,-0.72,-0.52%,11510100
1/4/11,136.24,136.28,134.16,134.75,-3.25,-2.36%,26154200
1/5/11,133.5,134.68,133.1,134.37,-0.38,-0.28%,16700800
1/6/11,134.06,134.38,133.14,133.83,-0.54,-0.40%,15969200
1/7/11,133.38,134.61,133.18,133.58,-0.25,-0.19%,16761700
1/10/11,133.84,134.2,133.24,134.12,0.54,0.40%,8429800
1/11/11,134.79,135.16,133.96,134.91,0.79,0.59%,10271700
1/12/11,134.79,135.58,134.35,135.46,0.55,0.41%,10789600
1/13/11,135.66,135.68,133.63,134.05,-1.41,-1.04%,14302700
1/14/11,133.17,133.6,132.22,132.69,-1.36,-1.01%,21226500
1/18/11,133.62,134,133.17,133.43,0.74,0.56%,11599700
1/19/11,134.37,134.4,133.4,133.72,0.29,0.22%,11795100
1/20/11,131.76,132.1,131.04,131.2,-2.52,-1.88%,24362800
1/21/11,130.76,131.43,130.53,131.03,-0.17,-0.13%,19490700
1/24/11,131.01,131.63,130.14,130.36,-0.67,-0.51%,15127100
1/25/11,129.65,130.27,129.07,130.1,-0.26,-0.20%,22224400
1/26/11,129.83,131.17,129.28,131.16,1.06,0.81%,20548300
1/27/11,130.29,130.49,127.8,127.93,-3.23,-2.46%,33046900
1/28/11,127.97,131.48,127.95,130.28,2.35,1.84%,28096000
1/31/11,129.27,130.51,129.25,129.87,-0.41,-0.31%,14670000
2/1/11,130.52,131.08,129.33,130.8,0.93,0.72%,15365900
2/2/11,130.37,130.6,129.45,130.45,-0.35,-0.27%,10085100
2/3/11,130.07,132.32,129.28,132.2,1.75,1.34%,17414600
2/4/11,131.84,132.7,131.23,131.66,-0.54,-0.41%,15216100
2/7/11,131.67,131.95,131.23,131.68,0.02,0.02%,7179100
2/8/11,132.96,133.5,132.8,133.14,1.46,1.11%,16227100
2/9/11,133.19,133.39,132.49,133.07,-0.07,-0.05%,10181200
2/10/11,132.11,133.31,132,132.85,-0.22,-0.17%,8105100
2/11/11,133.01,133.44,132.09,132.32,-0.53,-0.40%,9889300
2/14/11,132.95,133.38,132.7,132.95,0.63,0.48%,8702400
2/15/11,133.86,134.17,133.63,133.97,1.02,0.77%,10112800
2/16/11,134.25,134.86,133.45,134.1,0.13,0.10%,12824100
2/17/11,134.76,135.16,134.47,135.04,0.94,0.70%,11332100
2/18/11,135.18,135.8,134.88,135.41,0.37,0.27%,15890800
2/22/11,136.9,137.22,136.19,136.29,0.88,0.65%,16678900
2/23/11,136.96,138.2,136.92,137.51,1.22,0.90%,15692800
2/24/11,138.04,138.14,135.73,136.48,-1.03,-0.75%,18791200
2/25/11,137.21,137.74,136.77,137.38,0.9,0.66%,10352800
2/28/11,137.61,138.14,137.03,137.66,0.28,0.20%,8851000
3/1/11,138.57,140.03,138.49,140.03,2.37,1.72%,15836900
3/2/11,140.24,140.55,139.48,139.92,-0.11,-0.08%,15726500
3/3/11,138.77,139.13,137.57,138.09,-1.83,-1.31%,16490200
3/4/11,138.63,139.75,138.61,139.35,1.26,0.91%,17457200
3/7/11,140.31,140.61,139.28,139.72,0.37,0.27%,14070000
3/8/11,139.65,139.66,138.83,139.36,-0.36,-0.26%,10730400
3/9/11,139.92,139.95,138.94,139.41,0.05,0.04%,8736400
3/10/11,138.5,138.5,136.85,137.77,-1.64,-1.18%,15565400
3/11/11,137.28,138.93,137.18,138.22,0.45,0.33%,10417400
3/14/11,139.33,139.55,138.61,138.86,0.64,0.46%,10243500
3/15/11,135.35,136.94,135.23,136.27,-2.59,-1.87%,23465100
3/16/11,136.52,137.2,135.8,136.24,-0.03,-0.02%,13394000
3/17/11,136.56,137.08,136.25,136.97,0.73,0.54%,9123200
3/18/11,138.14,138.83,137.76,138.37,1.4,1.02%,18602000
3/21/11,139.5,139.91,138.97,139.14,0.77,0.56%,13743600
3/22/11,138.89,139.36,138.67,139.05,-0.09,-0.06%,9558200
3/23/11,139.61,140.55,139.55,140.34,1.29,0.93%,11542800
3/24/11,140.34,141.28,138.83,139.22,-1.12,-0.80%,17016500
3/25/11,139.98,140.24,138.66,139.26,0.04,0.03%,13191900
3/28/11,137.82,138.83,137.78,138.54,-0.72,-0.52%,7663500
3/29/11,138.2,138.82,137.94,138.21,-0.33,-0.24%,6349700
3/30/11,139.12,139.18,137.68,138.67,0.46,0.33%,10756600
3/31/11,140.06,140.4,139.78,139.86,1.19,0.86%,15235800
4/1/11,138.65,139.55,137.72,139.2,-0.66,-0.47%,15739800
4/4/11,140.14,140.26,139.45,139.84,0.64,0.46%,9685000
4/5/11,139.58,142.09,139.52,142.05,2.21,1.58%,18334000
4/6/11,142.4,142.62,141.77,142.38,0.33,0.23%,10718600
4/7/11,142.23,142.89,141.8,142.51,0.13,0.09%,9489900
4/8/11,143.34,143.84,142.97,143.66,1.15,0.81%,13129800
4/11/11,143.28,143.49,142.28,142.64,-1.02,-0.71%,10114500
4/12/11,142.74,142.82,140.75,141.61,-1.03,-0.72%,14950500
4/13/11,142.39,142.53,141.48,141.9,0.29,0.20%,13888800
4/14/11,142.35,143.83,142.23,143.81,1.91,1.35%,14174200
4/15/11,143.88,145.12,143.57,145.05,1.24,0.86%,19127200
4/18/11,145.19,146.07,144.63,145.93,0.88,0.61%,17343100
4/19/11,145.73,146.24,145.18,145.93,0,0.00%,10957300
4/20/11,146.37,146.84,145.74,146.5,0.57,0.39%,13903200
4/21/11,146.55,147.06,146.32,146.74,0.24,0.16%,10113900
4/25/11,147.58,147.58,146.42,146.87,0.13,0.09%,15596800
4/26/11,146.47,146.62,145.48,146.38,-0.49,-0.33%,16243600
4/27/11,147.4,149.21,146.52,149.2,2.82,1.93%,21945900
4/28/11,149.3,150,148.6,149.82,0.62,0.42%,20759300
4/29/11,149.9,153.03,149.75,152.37,2.55,1.70%,27601200
5/2/11,151.48,153.61,150.36,150.41,-1.96,-1.29%,24094000
5/3/11,150.43,150.97,148.85,149.88,-0.53,-0.35%,24215600
5/4/11,149.86,150.34,146.76,147.73,-2.15,-1.43%,35111600
5/5/11,146.77,147.58,142.55,143.47,-4.26,-2.88%,51284400
5/6/11,145.2,146.09,144.4,145.3,1.83,1.28%,24185100
5/9/11,146.67,147.58,146.34,147.38,2.08,1.43%,13854700
5/10/11,147.21,148.19,146.93,147.9,0.52,0.35%,11285400
5/11/11,147.24,147.35,145.77,146.54,-1.36,-0.92%,21386800
5/12/11,145.88,147.12,144.96,146.59,0.05,0.03%,18730300
5/13/11,146.77,147.28,144.49,145.63,-0.96,-0.65%,17270000
5/16/11,145.88,146.67,145.19,145.37,-0.26,-0.18%,10069200
5/17/11,144.21,144.78,143.42,144.74,-0.63,-0.43%,17203600
5/18/11,145.55,146.22,145.14,145.6,0.86,0.59%,10508300
5/19/11,145.12,145.85,144.86,145.65,0.05,0.03%,8098700
5/20/11,145.81,147.78,144.9,147.49,1.84,1.26%,23188900
5/23/11,147.04,147.95,146.97,147.83,0.34,0.23%,15946400
5/24/11,148.48,149.05,148.18,148.59,0.76,0.51%,14947900
5/25/11,148.72,149.37,148.52,148.58,-0.01,-0.01%,10973700
5/26/11,148.45,148.61,147.59,148.22,-0.36,-0.24%,9791500
5/27/11,149.02,149.92,148.96,149.7,1.48,1.00%,10188100
5/31/11,149.88,150.17,149.41,149.64,-0.06,-0.04%,10503500
6/1/11,149.66,151.13,149.43,149.91,0.27,0.18%,18365300
6/2/11,150.15,150.38,148.07,149.5,-0.41,-0.27%,13553000
6/3/11,150.28,150.66,149.62,150.22,0.72,0.48%,12608500
6/6/11,150.82,151.45,150.21,150.48,0.26,0.17%,11479000
6/7/11,150.67,150.85,149.68,150.42,-0.06,-0.04%,10145000
6/8/11,150.02,150.38,149.3,149.81,-0.61,-0.41%,9612400
6/9/11,150.01,151.02,149.75,150.56,0.75,0.50%,7651600
6/10/11,149.04,149.78,148.69,149.24,-1.32,-0.88%,12346100
6/13/11,148.65,149.04,147.19,147.77,-1.47,-0.98%,12998000
6/14/11,147.72,148.73,147.48,148.67,0.9,0.61%,10942900
6/15/11,148.18,149.55,147.92,149.12,0.45,0.30%,14550600
6/16/11,148.83,149.49,148.22,148.97,-0.15,-0.10%,11034900
6/17/11,148.87,150.29,148.83,149.94,0.97,0.65%,19206700
6/20/11,150.07,150.79,149.58,150.03,0.09,0.06%,10463300
6/21/11,150.26,150.87,150.18,150.76,0.73,0.49%,12445100
6/22/11,151.01,151.86,150.56,150.99,0.23,0.15%,14117300
6/23/11,148.67,148.84,147.26,148.34,-2.65,-1.76%,24869500
6/24/11,147.86,148.02,145.97,146.26,-2.08,-1.40%,19304300
6/27/11,145.93,146.4,145.2,145.73,-0.53,-0.36%,11604300
6/28/11,146.16,146.77,145.67,146.24,0.51,0.35%,8813700
6/29/11,146.77,147.42,146.44,147.18,0.94,0.64%,12626800
6/30/11,147.18,147.41,145.98,146,-1.18,-0.80%,12669700
7/1/11,144.76,145.07,143.97,144.93,-1.07,-0.73%,16367100
7/5/11,146.96,147.82,146.85,147.63,2.7,1.86%,11281700
7/6/11,148.7,149.44,148.58,148.91,1.28,0.87%,14506200
7/7/11,148.97,149.35,148.29,149.15,0.24,0.16%,9524000
7/8/11,150.32,150.5,149.99,150.25,1.1,0.74%,13663000
7/11/11,151.33,151.69,150.2,151.59,1.34,0.89%,20451100
7/12/11,151.24,153.32,150.77,152.77,1.18,0.78%,24037600
7/13/11,153.76,154.71,153.58,154.14,1.37,0.90%,26350900
7/14/11,154.81,155.24,153.95,154.54,0.4,0.26%,17617900
7/15/11,154.34,155.29,154.22,155.2,0.66,0.43%,18452300
7/18/11,155.77,156.58,155.67,156.57,1.37,0.88%,17133300
7/19/11,156.32,156.32,154.1,154.66,-1.91,-1.22%,22879800
7/20/11,154.22,156.02,154.11,156.02,1.36,0.88%,14568700
7/21/11,155.91,156.04,154.33,154.83,-1.19,-0.76%,20003600
7/22/11,156,156.56,155.68,156.12,1.29,0.83%,11378600
7/25/11,157.6,157.8,156.72,157.34,1.22,0.78%,13036100
7/26/11,156.97,157.79,156.6,157.77,0.43,0.27%,11743600
7/27/11,158.47,158.64,156.69,157.19,-0.58,-0.37%,18301500
7/28/11,157.54,157.6,156.11,157.32,0.13,0.08%,11374900
7/29/11,158.43,159.25,157.68,158.29,0.97,0.62%,17129100
8/1/11,157.47,158.97,156.78,157.72,-0.57,-0.36%,14825600
8/2/11,159.36,161.62,158.97,161.52,3.8,2.41%,24284400
8/3/11,162.38,162.86,161.34,161.49,-0.03,-0.02%,27823600
